Current / A,V1  -sample/ uV,time/s
17.059063,-2.126919,26.347
17.089456,-2.132628,26.392
17.19938,-2.171052,26.438
17.229645,-2.317098,26.604
17.260519,-2.315463,26.65
17.290187,-2.279234,26.696
17.32093,-2.236039,26.741
17.351053,-2.196106,26.787
17.381898,-2.149572,26.833
17.413093,-2.095394,26.879
17.444259,-2.047334,26.925
17.474265,-2.006526,26.971
17.50477,-1.976177,27.017
17.534707,-1.946218,27.062
17.565429,-1.926393,27.108
17.595629,-1.900944,27.154
17.626403,-1.874639,27.2
17.657444,-1.858136,27.245
17.933115,-1.644817,27.291
17.962821,-1.632666,27.704
17.993415,-1.610601,27.75
18.024375,-1.592798,27.796
18.054164,-1.567271,27.842
18.085622,-1.555157,27.887
18.116681,-1.54955,27.933
18.14728,-1.546704,27.979
18.176521,-1.550878,28.025
18.206798,-1.553422,28.071
18.236802,-1.561411,28.116
18.267822,-1.553769,28.162
18.298781,-1.536312,28.208
18.330386,-1.525748,28.254
18.360586,-1.524199,28.299
18.390644,-1.528812,28.345
18.494019,-1.574631,28.391
18.524557,-1.630419,28.546
18.555581,-1.697695,28.593
18.808482,-1.730211,28.638
18.838916,-1.566877,29.016
18.868524,-1.523043,29.062
18.899346,-1.504208,29.108
18.929951,-1.500791,29.154
18.96087,-1.460434,29.2
18.991381,-1.352818,29.246
19.022291,-1.229515,29.292
19.052201,-1.155246,29.337
19.082349,-1.143183,29.383
19.112255,-1.174222,29.429
19.225841,-1.274227,29.475
19.257295,-1.256954,29.646
19.28781,-1.220431,29.692
19.398356,-1.209539,29.737
19.429747,-1.334431,29.904
19.460527,-1.35887,29.95
19.491489,-1.363688,29.996
19.521764,-1.352645,30.042
19.551616,-1.333868,30.088
19.582123,-1.307599,30.133
19.612482,-1.256714,30.179
19.643168,-1.193484,30.225
19.67467,-1.146407,30.271
19.705116,-1.146781,30.317
19.735604,-1.213618,30.363
19.765863,-1.34488,30.408
19.795865,-1.489722,30.454
19.826106,-1.588013,30.499
19.856446,-1.651676,30.545
19.961584,-1.687026,30.591
19.991924,-1.747719,30.747
20.022268,-1.818621,30.793
20.133853,-1.874265,30.838
20.163653,-1.891254,31.004
20.194556,-1.847552,31.051
20.224633,-1.818268,31.096
